"replication","n","kappa","first_stage_F","partial_R2","beta_Z1","beta_Z2","R2_restricted","R2_unrestricted","RSS_restricted","RSS_unrestricted","nested_F","partial_R2_from_model_R2","cov_z1_d_latent","cov_z2_d_latent","status"
6,500,1,106.900745793697,0.305081387745208,0.107387159010828,0.090802483916135,0.026218148704733,0.323300867258991,66.1676952641051,45.9811629690299,106.900745793697,0.305081387745208,1.08228411564553,1.02133191912053,"OK"
6,500,0.5,22.8901144409361,0.0859270415832616,0.0551821501049767,0.0484050428586985,0.0218681895132541,0.10591616226686,64.1358639464206,58.6248588981181,22.8901144409361,0.0859270415832616,0.592180486058984,0.558412915469298,"OK"
6,500,0.25,4.99070326549192,0.0200840643126989,0.0259935953989323,0.0241715376618851,0.0180546820688725,0.0377761349857549,64.3777588943653,63.0847918444235,4.99070326549192,0.020084064312699,0.321518795199125,0.307258743150313,"OK"
6,500,0.1,0.798730780920162,0.00326948395665813,0.00984862910986604,0.0103699229945225,0.0156577367756885,0.0188760280131609,64.6644525064526,64.4530331164166,0.798730780920162,0.0032694839566581,0.156443778276739,0.154506785240722,"OK"
7,500,1,92.6240976301084,0.275565180488897,0.091439041003255,0.105461718543352,0.0193005081378091,0.289547140618183,69.9728704322158,50.6907837622361,92.6240976301084,0.275565180488897,1.10646713741888,1.08994867993569,"OK"
7,500,0.5,23.8121881163569,0.0890800688294536,0.0433719279090178,0.062268173996879,0.0221710615859758,0.109276130723329,63.8107703949941,58.1265025761476,23.8121881163569,0.0890800688294535,0.506496099158857,0.499946597675132,"OK"
7,500,0.25,5.66565956190057,0.022738524931013,0.0174511269271114,0.0335899111627022,0.0188761697213714,0.0411854783965729,62.1657118522616,60.7521552634547,5.66565956190057,0.022738524931013,0.23331594276677,0.218212589931213,"OK"
7,500,0.1,0.941306139563166,0.00385084728284724,0.001478322673984,0.0153059991733002,0.0170113867709915,0.0207967258013142,61.4521108343877,61.2154681403559,0.941306139563166,0.00385084728284728,0.072210862336652,0.0505595073961846,"OK"
8,500,1,112.765123735494,0.316520243556636,0.098104329516471,0.0970973325517972,0.032178443784996,0.338513558477532,66.2771023092779,45.2990577441172,112.765123735494,0.316520243556636,1.07005678083295,1.09246822881851,"OK"
8,500,0.5,20.0799179517793,0.0761815168159086,0.045501656412946,0.0502495297401638,0.024747666401272,0.0990438684530776,65.994690569016,60.9671149396719,20.0799179517793,0.0761815168159085,0.565710104229757,0.621377767004465,"OK"
8,500,0.25,3.52301798428069,0.0142619016358422,0.0187572459609663,0.0228076419070019,0.0160697052415599,0.0301024223219301,66.4863526218706,65.5381308006515,3.52301798428069,0.0142619016358422,0.292377745865794,0.350967809322083,"OK"
8,500,0.1,0.239585503130945,0.000982956882594139,0.00457562647751813,0.00634245549936899,0.0116605247709287,0.0126320198604446,67.0679797494554,67.002054817159,0.239585503130945,0.000982956882594127,0.126165750571813,0.185076060638519,"OK"
